avtor;naslov;zbirka;ocena;strani;zanri
Shel Silverstein;Where the Sidewalk Ends;;430;176;Poetry,Childrens,Classics,Fiction,Humor,Young Adult,Picture Books,Juvenile,Middle Grade,Fantasy
Stephenie Meyer;The Host;The Host;384;620;Young Adult,Science Fiction,Fantasy,Romance,Fiction,Dystopia,Paranormal,Aliens,Adult,Paranormal Romance
Jodi Picoult;My Sister's Keeper;;408;423;Fiction,Contemporary,Chick Lit,Young Adult,Drama,Adult,Adult Fiction,Realistic Fiction,Family,Novels
Nicholas Sparks;The Notebook;The Notebook;411;227;Romance,Fiction,Chick Lit,Contemporary,Adult,Adult Fiction,Contemporary Romance,Love,Drama,Classics
Stephenie Meyer;Twilight;The Twilight Saga;360;501;Young Adult,Fantasy,Romance,Vampires,Fiction,Paranormal,Paranormal Romance,Supernatural,Teen,Urban Fantasy
Stieg Larsson;The Girl with the Dragon Tattoo;Millennium;414;465;Fiction,Mystery,Suspense,Contemporary,Adult,Adult Fiction,Sweden,Thriller,Audiobook,Crime
Elie Wiesel;Night;The Night Trilogy;434;115;Nonfiction,Classics,History,Memoir,Holocaust,Biography,School,Historical,War,World War II
J.K. Rowling;Harry Potter and the Deathly Hallows;Harry Potter;462;759;Fantasy,Young Adult,Fiction,Magic,Childrens,Adventure,Audiobook,Middle Grade,Classics,Science Fiction Fantasy
Sara Gruen;Water for Elephants;;409;335;Fiction,Historical Fiction,Romance,Historical,Adult,Adult Fiction,Contemporary,Book Club,Novels,Animals
Christopher Paolini;Eragon;The Inheritance Cycle;390;503;Fantasy,Young Adult,Fiction,Dragons,Adventure,Magic,High Fantasy,Science Fiction Fantasy,Young Adult Fantasy,Childrens
John Green;Paper Towns;;380;305;Young Adult,Contemporary,Fiction,Romance,Mystery,Realistic Fiction,Teen,Coming Of Age,Adventure,Young Adult Contemporary
Mark Haddon;The Curious Incident of the Dog in the Night-Time;;388;226;Fiction,Mystery,Young Adult,Contemporary,Novels,Classics,Psychology,Literature,Realistic Fiction,Adult Fiction
Madeleine L'Engle;A Wrinkle in Time;Time Quintet;400;218;Fantasy,Fiction,Classics,Young Adult,Science Fiction,Childrens,Middle Grade,Time Travel,Adventure,Science Fiction Fantasy
Arthur Golden;Memoirs of a Geisha;;412;503;Fiction,Historical Fiction,Romance,Historical,Classics,Japan,Adult,Novels,Asia,Adult Fiction
Khaled Hosseini;A Thousand Splendid Suns;;438;372;Fiction,Historical Fiction,Contemporary,Novels,Historical,War,Adult Fiction,Adult,Drama,Literature
Paulo Coelho;The Alchemist;;388;182;Fiction,Classics,Fantasy,Philosophy,Novels,Spirituality,Literature,Self Help,Inspirational,Adventure
Louisa May Alcott;Little Women;Little Women;409;449;Classics,Fiction,Historical Fiction,Young Adult,Romance,Historical,Literature,Childrens,Classic Literature,Novels
Cassandra Clare;City of Bones;The Mortal Instruments;410;485;Fantasy,Young Adult,Paranormal,Romance,Urban Fantasy,Fiction,Vampires,Supernatural,Angels,Magic
Rick Riordan;The Lightning Thief;Percy Jackson and the Olympians;426;375;Fantasy,Young Adult,Mythology,Fiction,Middle Grade,Adventure,Childrens,Urban Fantasy,Greek Mythology,Magic
George R.R. Martin;A Game of Thrones;A Song of Ice and Fire;445;835;Fantasy,Fiction,Epic Fantasy,Adult,Science Fiction Fantasy,High Fantasy,Adventure,Dragons,Audiobook,Epic
Gillian Flynn;Gone Girl;;408;415;Fiction,Mystery,Thriller,Crime,Mystery Thriller,Suspense,Contemporary,Adult,Adult Fiction,Audiobook
J.K. Rowling;Harry Potter and the Half-Blood Prince;Harry Potter;457;652;Fantasy,Young Adult,Fiction,Magic,Childrens,Adventure,Audiobook,Middle Grade,Classics,Science Fiction Fantasy
William Golding;Lord of the Flies;;369;182;Classics,Fiction,Young Adult,School,Literature,Dystopia,Read For School,Novels,High School,Adventure
S.E. Hinton;The Outsiders;;410;192;Classics,Young Adult,Fiction,School,Realistic Fiction,Read For School,Coming Of Age,Historical Fiction,Contemporary,Teen
Stephenie Meyer;Eclipse;The Twilight Saga;370;629;Young Adult,Fantasy,Romance,Vampires,Fiction,Paranormal,Paranormal Romance,Supernatural,Werewolves,Teen
